발표시간,지역,시군구,재난종류,특보등급,해당지역,연결대피유형,기준위도,기준경도,1순위_대피소명,1순위_주소,1순위_대피소유형,1순위_거리_km,2순위_대피소명,2순위_주소,2순위_대피소유형,2순위_거리_km,3순위_대피소명,3순위_주소,3순위_대피소유형,3순위_거리_km,평균거리_km
2023-08-20 9:00,경북,영천,폭염,경보,(1) 폭염주의보 발표 : 경상북도(영덕. 울진평지. 포항. 경주. 경북북동산지) / (2) 폭염경보 변경 : 경상북도(영천. 경산),쉼터,35.97957417894737,128.93864650559212,청구2차경로당,"경상북도 영천시 모란1길 18  (야사동, 청구아파트)","한파쉼터,무더위쉼터",0.382,무궁화타운경로당,"경상북도 영천시 충효로 97  (문외동, 무궁화아파트)","한파쉼터,무더위쉼터",0.523,야사주공4차경로당,"경상북도 영천시 충효로 147  (야사동, 야사4주공 임대아파트)","한파쉼터,무더위쉼터",0.551,0.485
2023-08-20 9:00,경북,경산,폭염,경보,(1) 폭염주의보 발표 : 경상북도(영덕. 울진평지. 포항. 경주. 경북북동산지) / (2) 폭염경보 변경 : 경상북도(영천. 경산),쉼터,35.83809317929824,128.77767467953217,신대2리경로당,경상북도 경산시 압량읍가일길 32 ,"한파쉼터,무더위쉼터",0.209,압량리경로당,경상북도 경산시 압량읍압량길 69 ,"한파쉼터,무더위쉼터",1.119,갑제경로당,경상북도 경산시 갑제길 5,"한파쉼터,무더위쉼터",1.602,0.977
2023-08-20 9:00,경남,거창,폭염,주의보,(1) 폭염주의보 발표 : 경상남도(거창). 울산 / (2) 폭염경보 변경 : 경상남도(합천),쉼터,35.724479061697345,127.91492713087935,사동정자,경상남도 거창군 사동2길 37 (거창읍),무더위쉼터,0.421,사동경로당,"경상남도 거창군 거창읍 사동2길 32 , 사동마을회관","한파쉼터,무더위쉼터",0.43,동변할머니경로당,"경상남도 거창군 거창읍 동변길 96 , 동변경로당","한파쉼터,무더위쉼터",0.938,0.596
2023-08-20 9:00,울산,울산,폭염,주의보,(1) 폭염주의보 발표 : 경상남도(거창). 울산 / (2) 폭염경보 변경 : 경상남도(합천),쉼터,35.54581280483067,129.29350947175718,상아타워@경로당,울산광역시 남구 은월로 22  (옥동),"한파쉼터,무더위쉼터",0.529,전원아파트경로당,"울산광역시 중구 신기길 31  (태화동, 전원타운아파트)","한파쉼터,무더위쉼터",0.554,태화교회(비움새도서관),울산광역시 중구 신기8길 65 (태화교회),"한파쉼터,무더위쉼터",0.665,0.583
2023-08-20 9:00,경남,합천,폭염,경보,(1) 폭염주의보 발표 : 경상남도(거창). 울산 / (2) 폭염경보 변경 : 경상남도(합천),쉼터,35.56938011793624,128.16082301006713,옥산동경로당,경상남도 합천군 합천읍 충효로 106-8 ,"한파쉼터,무더위쉼터",0.155,영창마을경로회관,경상남도 합천군 합천읍영창1길 9,"한파쉼터,무더위쉼터",0.188,영창야외쉼터,경상남도 합천군 합천읍 영창1길 9,무더위쉼터,0.189,0.177
2023-08-20 15:30,경북,김천,호우,주의보,(1) 호우주의보 발표 : 경상북도(김천. 상주),쉼터,36.10763262331343,128.1224276597015,양금동행정복지센터,경상북도 김천시 강변로 178 (황금동),"한파쉼터,무더위쉼터",0.322,동보아파트경로당,경상북도 김천시 양금로 196 (동보수정맨션 부대시설),"한파쉼터,무더위쉼터",0.423,황금경로당,경상북도 김천시 황금동 93-1,한파쉼터,0.629,0.458
2023-08-20 15:30,경북,상주,호우,주의보,(1) 호우주의보 발표 : 경상북도(김천. 상주),쉼터,36.41090762056911,128.09995967276424,남장마을회관,경상북도 상주시 남장5길 1  (남장동),"한파쉼터,무더위쉼터",1.485,신촌2리마을회관,경상북도 상주시 내서면신촌1길 77,"한파쉼터,무더위쉼터",2.201,내서면행정복지센터,경상북도 상주시 내서면 신촌2길 10-5,"한파쉼터,무더위쉼터",2.953,2.213
2023-08-20 16:50,경북,문경,호우,주의보,(1) 호우주의보 발표 : 경상북도(문경),쉼터,36.64508222958115,128.16987595078533,신우노인회,경상북도 문경시 신기동 신기5길 7  (신기동),"한파쉼터,무더위쉼터",0.587,별암리경로당,경상북도 문경시 호계면대학길 5,"한파쉼터,무더위쉼터",1.29,송연경로당,경상북도 문경시 창동 장평길 402  (창동),"한파쉼터,무더위쉼터",1.971,1.282
2023-08-20 17:20,경북,안동,호우,주의보,(1) 호우주의보 발표 : 경상북도(안동),쉼터,36.580787246126256,128.73916756226686,성도아파트경로당,"경상북도 안동시 퇴계로 282-6 (안막동, 성도아파트)","한파쉼터,무더위쉼터",0.389,청머리경로당,경상북도 안동시 상아길 112 (상아동),"한파쉼터,무더위쉼터",0.416,안막경로당,경상북도 안동시 사명당길 12,"한파쉼터,무더위쉼터",0.544,0.45
2023-08-20 17:50,경북,청송,호우,주의보,(1) 호우주의보 발표 : 경상북도(청송. 영양평지),쉼터,36.39551906622951,129.03339484262295,노래2리경로당,경상북도 청송군 안덕면 신노래길 2-29 ,"한파쉼터,무더위쉼터",2.272,금곡2리경로당,경상북도 청송군 청송읍 초막본길 19 ,"한파쉼터,무더위쉼터",3.141,청운리경로당,경상북도 청송군 청송읍 청송로 4638 ,"한파쉼터,무더위쉼터",3.217,2.877
2023-08-23 19:20,경북,청송,호우,주의보,(1) 호우주의보 발표 : 경상북도(청송),쉼터,36.39551906622951,129.03339484262295,노래2리경로당,경상북도 청송군 안덕면 신노래길 2-29 ,"한파쉼터,무더위쉼터",2.272,금곡2리경로당,경상북도 청송군 청송읍 초막본길 19 ,"한파쉼터,무더위쉼터",3.141,청운리경로당,경상북도 청송군 청송읍 청송로 4638 ,"한파쉼터,무더위쉼터",3.217,2.877
2023-08-23 20:40,경남,진주,호우,주의보,(1) 호우주의보 발표 : 경상남도(진주. 산청),쉼터,35.188251242158955,128.12604152609728,하대경로당,경상남도 진주시 모덕로294번길 11-3 (하대동),"한파쉼터,무더위쉼터",0.033,한보타워맨션경로당,경상남도 진주시 모덕로306번길 2,"한파쉼터,무더위쉼터",0.087,진주원예농협도동지점,경상남도 진주시 모덕로306번길 8,"한파쉼터,무더위쉼터",0.101,0.074
2023-08-23 20:40,경남,산청,호우,주의보,(1) 호우주의보 발표 : 경상남도(진주. 산청),쉼터,35.372115948271954,127.91269876798867,신기경로당,경상남도 산청군 산청읍 산청대로1286번길 15 ,"한파쉼터,무더위쉼터",0.138,심거마을회관,경상남도 산청군 신안면 산청대로1212번길 42-11,"한파쉼터,무더위쉼터",0.833,풍현장애인복지시설,경상남도 산청군 산청읍 산청대로1381번길 17 (성심원),"한파쉼터,무더위쉼터",0.969,0.647
2023-08-23 23:00,경남,하동,호우,주의보,(1) 호우주의보 발표 : 경상남도(하동. 함양). 부산,쉼터,35.09452868091346,127.80295061009616,개인경로당,경상남도 하동군 횡천면 개인길 5,"한파쉼터,무더위쉼터",0.098,인동경로당,경상남도 하동군 횡천면 인동길 18,"한파쉼터,무더위쉼터",0.62,하남경로당,경상남도 하동군 횡천면 경서대로 885-6,"한파쉼터,무더위쉼터",0.621,0.446
2023-08-23 23:00,경남,함양,호우,주의보,(1) 호우주의보 발표 : 경상남도(하동. 함양). 부산,쉼터,35.55014292565905,127.73342318084359,삼천경로당(삼천마을회관),경상남도 함양군 함양읍 삼천길 18 ,"한파쉼터,무더위쉼터",1.211,후동마을회관(후동경로당),경상남도 함양군 함양읍 후동길 51-1,"한파쉼터,무더위쉼터",1.385,"정취마을회관(정취경로당,노모당)",경상남도 함양군 지곡면 정취길 63 ,"한파쉼터,무더위쉼터",1.446,1.347
2023-08-23 23:00,부산,부산,호우,주의보,(1) 호우주의보 발표 : 경상남도(하동. 함양). 부산,쉼터,35.17834760316723,129.06805417690035,거제3동경로회관,부산광역시 연제구 거제대로74번길 71,"한파쉼터,무더위쉼터",0.163,해맞이경로당,"부산광역시 연제구 해맞이로43번길 36 , 해맞이경로당 (거제동)","한파쉼터,무더위쉼터",0.174,해맞이작은도서관,부산광역시 연제구 해맞이로43번길 36 (해맞이경로당),"한파쉼터,무더위쉼터",0.177,0.172
