대피소명,주소,위도,경도,수용인원,시도,시군구
학장초등학교 운동장,부산광역시 사상구 대동로 205(학장동),35.14587362,128.9837551,7050,부산,사상구
부민초등학교 운동장,부산광역시 서구 고운들로 12(부용동2가),35.10643152,129.0195073,792,부산,서구
엄궁중학교 운동장,부산광역시 사상구 대동로 56(엄궁동),35.1349966,128.9755421,5236,부산,사상구
도산초등학교운동장,울산광역시 남구 번영로54번길 25(야음동),35.53042224,129.3340656,3743,울산,남구
부산시민공원,부산광역시 부산진구 시민공원로 73(범전동),35.1664764,129.0557849,46060,부산,부산진구
온천중학교 운동장,부산광역시 동래구 쇠미로129번길 28(온천동),35.20397055,129.0590619,5712,부산,동래구
여고초등학교 운동장,부산광역시 동래구 여고로63번가길 12(사직동),35.19790721,129.0695563,1579,부산,동래구
동평초등학교운동장,울산광역시 남구 도산로77번길 13-14 (달동),35.53275036,129.3252708,4223,울산,남구
백합초등학교운동장,울산광역시 남구 돋질로339번길 16(삼산동),35.54536196,129.3430319,4501,울산,남구
개화초등학교운동장,부산광역시 부산진구 개금본동로66번길 12-12 (개금동),35.15833989,129.0206013,3115,부산,부산진구
개성고등학교운동장,부산광역시 부산진구 당감서로 137(당감동),35.16925986,129.0307031,9067,부산,부산진구
아미초등학교 운동장,부산광역시 서구 해돋이로 241(아미동2가),35.09837102,129.0159999,5214,부산,서구
경원고등학교운동장,부산광역시 부산진구 백양관문로 40(당감동),35.16329295,129.031653,6061,부산,부산진구
개금여자중학교운동장,부산광역시 부산진구 백양대로136번길 75(당감동),35.1634156,129.0329785,3668,부산,부산진구
달북초등학교 운동장,부산광역시 동래구 쇠미로 131(온천동),35.20376934,129.0601194,3429,부산,동래구
주례여자고등학교 운동장,부산광역시 사상구 가야대로366번길 146(주례동),35.14508202,129.0137655,4606,부산,사상구
삼호초등학교운동장,울산광역시 남구 북부순환도로19번길 8(무거동),35.55251475,129.2650674,4344,울산,남구
옥서초등학교운동장,울산광역시 남구 법대로14번길 19(옥동),35.53792838,129.285568,5166,울산,남구
청솔초등학교운동장,울산광역시 남구 삼산로94번길 20(달동),35.5327968,129.3179837,4202,울산,남구
동부초등학교운동장,경상남도 창원시 진해구 석동로 27(석동),35.15512256,128.7017627,8523,경남,창원시
연산초등학교 운동장,부산광역시 연제구 월드컵대로 41(연산동),35.17788619,129.0843451,6204,부산,연제구
예원초등학교 운동장,부산광역시 동래구 사직로 78(사직동),35.19570734,129.057469,3419,부산,동래구
소천초등학교,경상북도 봉화군 소천면 소천로 1284,36.93799268,129.0022637,6007,경북,봉화군
궁류봉황대 공설운동장,경상남도 의령군 궁류면 청정로 1209-32 ,35.43881128,128.2426786,5923,경남,의령군
대의초등학교 운동장,경상남도 의령군 대의면 대의로 31-6 ,35.37093381,128.1088096,1696,경남,의령군
정곡초등학교 운동장,경상남도 의령군 정곡면 법정로 937-6 ,35.37926635,128.324765,4727,경남,의령군
군위국민체육센터,대구광역시 군위군 군위읍 군청로 158,36.23714062,128.5743477,16151,대구,군위군
법수초등학교 운동장,경상남도 함안군 법수면 석무길 41,35.31745302,128.3800117,18055,경남,함안군
칠원고등학교 운동장,경상남도 함안군 칠서면 삼칠로 281,35.31770712,128.5073793,8456,경남,함안군
영오초등학교 운동장,경상남도 고성군 영오면 영회로 325,35.1055829,128.2166419,3847,경남,고성군
동해중학교 운동장,경상남도 고성군 동해면 동해로 1613,35.04602377,128.4474292,5189,경남,고성군
동광초등학교 운동장,경상남도 고성군 거류면 봉암2길 11,35.00855175,128.399909,3275,경남,고성군
미조초등학교 실외운동장,경상남도 남해군 미조면 미송로2번길 8,34.71515276,128.0415032,3362,경남,남해군
덕산중고등학교 운동장,경상남도 산청군 시천면 남명로159번길 1,35.27527128,127.8336816,4822,경남,산청군
사천종합운동장,경상남도 사천시 사천읍 구암두문로 85,35.08994014,128.0948107,26458,경남,사천시
구룡포과메기문화관,경상북도 포항시 남구 구룡포읍 구룡포길117번길 28-8 ,35.99248681,129.5616496,3636,경북,포항시
청림초등학교 운동장,경상북도 포항시 남구 정몽주로 890(청림동),35.99493254,129.4044051,6667,경북,포항시
포항제철고등학교 운동장,경상북도 포항시 남구 지곡로212번길 40(지곡동),36.02864502,129.3269359,10303,경북,포항시
용덕초등학교 운동장,경상남도 의령군 용덕면 용암로 39,35.3485126,128.290894,6783,경남,의령군
