대피소명,주소,대피소유형,위도,경도,시도,시군구,지역,수용인원
공원경로당,부산광역시 북구 의성로115번길 71,무더위쉼터,35.2113638,129.0146956,부산,북구,부산 북구,
해당화공원,"대구광역시 북구 팔거천동로4길 3 (구암동, 해당화공원(공중화장실))",무더위쉼터,35.927014,128.552735,대구,북구,대구 북구,
해락정,경상남도 함양군 백전면 평정길 15 (평정마을회관),무더위쉼터,35.541877,127.645473,경남,함양군,경남 함양군,
해뜨는마을,경상북도 포항시 남구 구룡포읍 동해안로4492번길 15 ,무더위쉼터,35.96355,129.5468842,경북,포항시,경북 포항시,
함양군공공도서관,경상남도 함양군 함양읍 함양로 1143-1 (경상남도교육청함양도서관),무더위쉼터,35.521105,127.727057,경남,함양군,경남 함양군,
공산농협본점,대구광역시 동구 팔공산로 1667 (백안동),무더위쉼터,35.9560381,128.6920933,대구,동구,대구 동구,
공산농협서부지점,대구광역시 동구 파계로6길 55 (지묘동),무더위쉼터,35.9413501,128.6384929,대구,동구,대구 동구,
해맞이공원(공원내정자),경상남도 고성군 동해면 조선특구로 2084,무더위쉼터,35.059654,128.479108,경남,고성군,경남 고성군,
해마루공원,경상북도 구미시 첨단기업3로 1 (옥계동),무더위쉼터,36.1427253,128.4364539,경북,구미시,경북 구미시,
해바라기공원,경상북도 구미시 검성로 87,무더위쉼터,36.118607,128.425928,경북,구미시,경북 구미시,
함촌본동경로당,경상남도 진주시 정촌면 대축길105번길 10-1 ,무더위쉼터,35.1285258,128.0885187,경남,진주시,경남 진주시,
곰솔경로당,부산광역시 수영구 수영성로 28-5 (수영동),무더위쉼터,35.1705393,129.1168749,부산,수영구,부산 수영구,
골말정,경상남도 함양군 안의면 동촌길 4 ,무더위쉼터,35.6479682,127.8039531,경남,함양군,경남 함양군,
항덕부녀경로당,부산광역시 동구 성남로33번길 14-1,무더위쉼터,35.129693,129.053612,부산,동구,부산 동구,
항덕경로당,부산광역시 동구 성남로33번길 14-1 (좌천동),무더위쉼터,35.1296849,129.0536178,부산,동구,부산 동구,
해바라기공원,"대구광역시 북구 오봉로1길 41 (노원동2가, 해바라기공원(공중화장실))",무더위쉼터,35.888765,128.574077,대구,북구,대구 북구,
북신동사무소정자,경상남도 통영시 여황로 403-6 (북신동),무더위쉼터,34.8568634,128.4256187,경남,통영시,경남 통영시,
비봉공원,경상북도 구미시 선산읍 남문로 59,무더위쉼터,36.248574,128.298363,경북,구미시,경북 구미시,
비치그린경로당,"부산광역시 수영구 광일로 49 (광안동, 비치그린아파트)",무더위쉼터,35.1617752,129.1082704,부산,수영구,부산 수영구,
비산6동제2경로당,대구광역시 서구 달서로27길 13-1 (비산동),무더위쉼터,35.87441,128.569623,대구,서구,대구 서구,
사구정,경상남도 함양군 휴천면 사구실길 6 ,무더위쉼터,35.4739014,127.7122126,경남,함양군,경남 함양군,
분회경로당,경상남도 합천군 쌍백면 쌍백중앙로 40,무더위쉼터,35.4395746,128.1445519,경남,합천군,경남 합천군,
불로봉무새마을금고,대구광역시 동구 팔공로 127,무더위쉼터,35.910236,128.640628,대구,동구,대구 동구,
북정경로당,울산광역시 중구 도서관길 31,무더위쉼터,35.5598899,129.3213157,울산,중구,울산 중구,
비룡정,경상남도 함양군 함양읍 곰실길 25 ,무더위쉼터,35.5105138,127.680646,경남,함양군,경남 함양군,
비봉2리경로당,경상북도 의성군 의성읍 비봉길 473 ,무더위쉼터,36.3045278,128.6923429,경북,의성군,경북 의성군,
북지2리마을회관,경상북도 봉화군 물야면 문수로 261 (북지2리마을회관),무더위쉼터,36.915758,128.735183,경북,봉화군,경북 봉화군,
분덕정,경상남도 함양군 수동면 수남로 146 ,무더위쉼터,35.5275226,127.8041111,경남,함양군,경남 함양군,
사곡영진자이온2단지경로당,경상남도 거제시 사등면 두동로 54-40 (사곡영진자이온2단지201동),무더위쉼터,34.89419,128.567572,경남,거제시,경남 거제시,
삼환나띠르빌아파트경로당,울산광역시 남구 신화로15번길 4,무더위쉼터,35.528928,129.333044,울산,남구,울산 남구,
비산5동제2경로당,대구광역시 서구 달서천로61길 2-6 (비산동),무더위쉼터,35.8850084,128.568399,대구,서구,대구 서구,
비산6동경로당,대구광역시 서구 문화로69길 26-16 (비산동),무더위쉼터,35.8782952,128.5705252,대구,서구,대구 서구,
삼화경로당,대구광역시 서구 달구벌대로373길 7-5 (내당동),무더위쉼터,35.861972,128.5678294,대구,서구,대구 서구,
비산1동경로당,대구광역시 서구 통학로52길 30 (비산동),무더위쉼터,35.8837586,128.5661839,대구,서구,대구 서구,
비산5동제1경로당,대구광역시 서구 서대구로68길 60-9 (비산동),무더위쉼터,35.8878344,128.5689229,대구,서구,대구 서구,
비원노인복지관,대구광역시 서구 서대구로 268 (비산동),무더위쉼터,35.8816746,128.55573,대구,서구,대구 서구,
금정할머니경로당,부산광역시 동래구 쇠미로 146 (온천동),무더위쉼터,35.2037189,129.0615249,부산,동래구,부산 동래구,
대촌마을회관,경상남도 통영시 광도면우동2길 40,무더위쉼터,34.9170501,128.407986,경남,통영시,경남 통영시,
대촌야외무더위쉼터,경상남도 밀양시 산외면 산외남로 5-10,무더위쉼터,35.5019619,128.7995727,경남,밀양시,경남 밀양시,
대포마을정자,경상남도 고성군 삼산면 미룡4길 2 (대포마을회관),무더위쉼터,34.927425,128.265768,경남,고성군,경남 고성군,
노원동주민자치센터,대구광역시 북구 노원로10길 166 (노원동행정복지센터),무더위쉼터,35.890188,128.576242,대구,북구,대구 북구,
노원동행정복지센터,대구광역시 북구 노원로10길 166 (노원동행정복지센터),무더위쉼터,35.890188,128.576242,대구,북구,대구 북구,
대평정자,경상남도 거창군 거창읍 강남로 175,무더위쉼터,35.68488,127.916462,경남,거창군,경남 거창군,
대평정,경상남도 함양군 백전면 상대평안길 14-21,무더위쉼터,35.531031,127.650144,경남,함양군,경남 함양군,
대촌나무그늘,경상남도 거창군 남하면 대촌1길 101-12,무더위쉼터,35.71507,127.964624,경남,거창군,경남 거창군,
대평경로당옆정자,경상남도 통영시 평인일주로 858-47 (평림동),무더위쉼터,34.8541122,128.4000251,경남,통영시,경남 통영시,
금양1리경로당,대구광역시 군위군 의흥면 금양3길 8 (금양1리마을회관),무더위쉼터,36.138251,128.745812,대구,군위군,대구 군위군,
대탄리경로당겸마을회관,경상북도 영덕군 영덕읍 대탄1길 12-23 ,무더위쉼터,36.4359713,129.4324047,경북,영덕군,경북 영덕군,
금오골든타운경로당,경상북도 구미시 고아읍 지산25길 8 (금오골든타워 가동),무더위쉼터,36.148107,128.348381,경북,구미시,경북 구미시,
대현뜨란채경로당,"대구광역시 북구 대현남로 28 (대현동, 대현뜨란채)",무더위쉼터,35.8802717,128.6062299,대구,북구,대구 북구,
대천경로당,부산광역시 북구 산성로 39-2 (화명동),무더위쉼터,35.240561,129.0172604,부산,북구,부산 북구,
금정산센트럴포렐경로당,"부산광역시 북구 만덕1로 25-9 (만덕동, 금정산 센트럴 포레)",무더위쉼터,35.2137254,129.0348852,부산,북구,부산 북구,
금정산성광장,"부산광역시 금정구 산성로 501 (금성동, 다목적광장 공중화장실)",무더위쉼터,35.2462072,129.0573413,부산,금정구,부산 금정구,
대천공원,"대구광역시 북구 팔거천서로35길 11 (읍내동, 대천어린이공원(공중화장실))",무더위쉼터,35.939156,128.555263,대구,북구,대구 북구,
대청파출소,부산광역시 중구 중구로 103-1,무더위쉼터,35.105868,129.031379,부산,중구,부산 중구,
대청마루쉼터,부산광역시 중구 중구로 71,무더위쉼터,35.1040494,129.0289666,부산,중구,부산 중구,
대청쉼터,부산광역시 중구 대청로 79-1 ,무더위쉼터,35.1050654,129.0312588,부산,중구,부산 중구,
금정할아버지경로당,부산광역시 동래구 쇠미로 146 (온천동),무더위쉼터,35.2037102,129.0615302,부산,동래구,부산 동래구,
놀이마당공원,부산광역시 금정구 놀이마당로 5 (놀이마당 공중화장실),무더위쉼터,35.275711,129.087273,부산,금정구,부산 금정구,
농기계임대사업소(산서분소),경상북도 청도군 풍각면 헐티로 119 (농기계임대사업소산서분소),무더위쉼터,35.640277,128.628552,경북,청도군,경북 청도군,
대초쉼터,경상남도 거창군 가조면 대초길 134 ,무더위쉼터,35.6909557,128.0147204,경남,거창군,경남 거창군,
논치쉼터,부산광역시 중구 해관로85번길 9 (중앙동4가),무더위쉼터,35.1067353,129.0350622,부산,중구,부산 중구,
사리1리경로당,대구광역시 군위군 소보면 만세길 46-15 (사리1리마을회관),무더위쉼터,36.312019,128.470009,대구,군위군,대구 군위군,
상록공원,부산광역시 북구 덕천로 366,무더위쉼터,35.2091938,129.0438422,부산,북구,부산 북구,
사리2리경로당,대구광역시 군위군 소보면 사계길 219-10 (사리2리마을회관(경로당)),무더위쉼터,36.321062,128.456187,대구,군위군,대구 군위군,
상록경로당,대구광역시 서구 달서로18길 42-3 (비산동),무더위쉼터,35.8705926,128.5758872,대구,서구,대구 서구,
상동제2경로당,대구광역시 수성구 수성로15길 42-6,무더위쉼터,35.8330811,128.6089288,대구,수성구,대구 수성구,
사등면사무소정자,경상남도 거제시 사등면 성포로 104,무더위쉼터,34.9185811,128.5224721,경남,거제시,경남 거제시,
사연정자,경상남도 밀양시 단장면 사연길 51,무더위쉼터,35.5194998,128.8807842,경남,밀양시,경남 밀양시,
상동소공원,대구광역시 수성구 들안로19길 48,무더위쉼터,35.837903,128.61522,대구,수성구,대구 수성구,
상리2동경로당,대구광역시 서구 가르뱅이로 69 (상리동),무더위쉼터,35.8828264,128.530308,대구,서구,대구 서구,
사동정자,경상남도 거창군 사동2길 37 (거창읍),무더위쉼터,35.723857,127.919523,경남,거창군,경남 거창군,
사동몽돌해수욕장,경상북도 울릉군 울릉읍 도동2길 95,무더위쉼터,37.475165,130.894648,경북,울릉군,경북 울릉군,
상록한신휴플러스경로당,"부산광역시 북구 함박봉로140번길 16 (만덕동, 상록한신휴플러스아파트)",무더위쉼터,35.2047468,129.0323558,부산,북구,부산 북구,
상동농협매리지소,경상남도 김해시 상동면동북로 485,무더위쉼터,35.3158162,128.9676142,경남,김해시,경남 김해시,
상동공원경로당,대구광역시 수성구 들안로13길 118,무더위쉼터,35.839368,128.615384,대구,수성구,대구 수성구,
상백정,경상남도 함양군 수동면 상백길 1 ,무더위쉼터,35.610686,127.8060154,경남,함양군,경남 함양군,
상록수경로당,대구광역시 수성구 들안로29길 26-18,무더위쉼터,35.8444736,128.6154304,대구,수성구,대구 수성구,
상능경로당,경상남도 산청군 생비량면 상능로125번길 14-4,무더위쉼터,35.3739139,128.0628221,경남,산청군,경남 산청군,
사월동경로당,대구광역시 수성구 달구벌대로 3321-4,무더위쉼터,35.836538,128.719466,대구,수성구,대구 수성구,
사직놀이공원,부산광역시 동래구 사직북로28번길 87 (사직동),무더위쉼터,35.2008316,129.0636719,부산,동래구,부산 동래구,
상금경로당,경상남도 합천군 삼가면 금리4길 28-1 ,무더위쉼터,35.415692,128.1215045,경남,합천군,경남 합천군,
상금곡1리경로당,경상북도 예천군 용문면 금당실길 74 ,무더위쉼터,36.6911396,128.409746,경북,예천군,경북 예천군,
사직한밭공원,"부산광역시 동래구 사직북로48번길 25 (사직동, 삼익아파트)",무더위쉼터,35.1999,129.0591,부산,동래구,부산 동래구,
상도평정자,경상남도 거창군 주상면 상도평길 35-2 ,무더위쉼터,35.7549647,127.9139686,경남,거창군,경남 거창군,
사마나무그늘,경상남도 거창군 거창읍 사마리길 171-1,무더위쉼터,35.711097,127.926237,경남,거창군,경남 거창군,
사마정자,경상남도 거창군 거창읍 사마리길 178-9,무더위쉼터,35.711402,127.92603,경남,거창군,경남 거창군,
하동군청,경상남도 하동군 하동읍 군청로 23 ,무더위쉼터,35.0673232,127.7513244,경남,하동군,경남 하동군,
하망동행정복지센터,경상북도 영주시 영주로280번길 21 (하망동),무더위쉼터,36.8238346,128.6302659,경북,영주시,경북 영주시,
하림정,경상남도 함양군 함양읍 하림강변길 25,무더위쉼터,35.513947,127.731922,경남,함양군,경남 함양군,
하나은행대구지점,대구광역시 중구 국채보상로 648 (동인동2가),무더위쉼터,35.8694075,128.6011021,대구,중구,대구 중구,
하나은행대구혁신도시지점,대구광역시 동구 이노밸리로 309 (신서동),무더위쉼터,35.8783515,128.731024,대구,동구,대구 동구,
하나은행장생포(출),울산광역시 남구 장생포고래로 261,무더위쉼터,35.503916,129.382427,울산,남구,울산 남구,
하나증권,울산광역시 남구 삼산로 283,무더위쉼터,35.539757,129.337893,울산,남구,울산 남구,
하남도서관,경상남도 밀양시 하남읍 수산중앙로 63 (하남읍),무더위쉼터,35.375219,128.712452,경남,밀양시,경남 밀양시,
하나은행대구중앙지점,대구광역시 중구 달구벌대로 2108  (남산동),무더위쉼터,35.8650333,128.5941718,대구,중구,대구 중구,
하나은행노원동지점,대구광역시 북구 오봉로 8,무더위쉼터,35.888379,128.576541,대구,북구,대구 북구,
하고창,경상남도 거창군 마리면 고창길 118-3,무더위쉼터,35.681898,127.864223,경남,거창군,경남 거창군,
하개명마을정자,경상남도 거창군 고제면 하개명길 41,무더위쉼터,35.827733,127.857083,경남,거창군,경남 거창군,
하수내마을정자,경상남도 거창군 고제면 하수내길 37,무더위쉼터,35.844633,127.84259,경남,거창군,경남 거창군,
하단유수지주민어울마당,부산광역시 사하구 하신번영로 243,무더위쉼터,35.1029519,128.956673,부산,사하구,부산 사하구,
하단도서관,부산광역시 사하구 하신번영로 245,무더위쉼터,35.103008,128.957464,부산,사하구,부산 사하구,
하성단노을 야외 무더위쉼터,경상남도 거창군 웅양면 웅양로 2309,무더위쉼터,35.8724241,127.9202361,경남,거창군,경남 거창군,
하남초등학교스마트버스승강장,부산광역시 사하구 하신번영로 206 (하남중학교),무더위쉼터,35.099111,128.958671,부산,사하구,부산 사하구,
프리미어웰가경로당,경상남도 진주시 개양로 67,무더위쉼터,35.15591,128.113161,경남,진주시,경남 진주시,
성2리경로당,대구광역시 군위군 효령면 성3길 71 (성2리마을회관),무더위쉼터,36.1866,128.592445,대구,군위군,대구 군위군,
성림아파트경로당,"부산광역시 북구 구남로 11 (구포동, 성림누리아라아파트)",무더위쉼터,35.1981848,128.994247,부산,북구,부산 북구,
성만마을야외쉼터,경상남도 밀양시 초동면 성만2길 99,무더위쉼터,35.4039625,128.7034223,경남,밀양시,경남 밀양시,
성명공원,대구광역시 남구 성명공원길 49,무더위쉼터,35.847674,128.571358,대구,남구,대구 남구,
성1리경로당,대구광역시 군위군 효령면 성1길 47 (성1리마을노인회관),무더위쉼터,36.181583,128.585887,대구,군위군,대구 군위군,
성동경로당,대구광역시 수성구 성동로 166 (성동),무더위쉼터,35.8491164,128.7211185,대구,수성구,대구 수성구,
선비공원,경상북도 구미시 산동읍 동백로 341-6 ,무더위쉼터,36.1596,128.4353,경북,구미시,경북 구미시,
성내공원,경상북도 영주시 풍기읍 동양대로129번길 140-9 ,무더위쉼터,36.8713205,128.5199597,경북,영주시,경북 영주시,
상망동영남맨션(정자),경상북도 영주시 원당로223번길 57,무더위쉼터,36.84506,128.660889,경북,영주시,경북 영주시,
상마쉼터,경상남도 거창군 가조면 마상1길 108-7,무더위쉼터,35.7143935,128.0136961,경남,거창군,경남 거창군,
선암경로당,경상남도 김해시 대동면 대동로 56 ,무더위쉼터,35.2239235,128.9323738,경남,김해시,경남 김해시,
삽량근린공원파고라,경상남도 양산시 양주로 77 (남부동),무더위쉼터,35.332246,129.030741,경남,양산시,경남 양산시,
삼휴정,경상남도 함양군 함양읍 삼휴길 203-9 ,무더위쉼터,35.5126364,127.704917,경남,함양군,경남 함양군,
성산1구마을회관,경상남도 합천군 용주면 성산3길 31 ,무더위쉼터,35.5561674,128.135004,경남,합천군,경남 합천군,
성남경로당,울산광역시 울주군 청량읍상남길 34-19,무더위쉼터,35.4849556,129.3043139,울산,울주군,울산 울주군,
삽량근린공원정자,경상남도 양산시 양주로 77 (남부동),무더위쉼터,35.332246,129.030741,경남,양산시,경남 양산시,
덕곡야외쉼터,경상남도 합천군 덕곡면 율지2길 12-1 ,무더위쉼터,35.6148887,128.3587646,경남,합천군,경남 합천군,
덕곡율지경로당야외쉼터,경상남도 합천군 덕곡면 율지2길 21-7 ,무더위쉼터,35.6142753,128.3596981,경남,합천군,경남 합천군,
대흥경로당,대구광역시 수성구 월드컵로6길 54,무더위쉼터,35.831713,128.684597,대구,수성구,대구 수성구,
덕곡보건지소,경상북도 고령군 덕곡면 덕운로 575-1,무더위쉼터,35.778289,128.230861,경북,고령군,경북 고령군,
덕산경로당(웅촌),울산광역시 울주군 웅촌면 덕산길 46,무더위쉼터,35.471042,129.16881,울산,울주군,울산 울주군,
덕곡율지야외쉼터,경상남도 합천군 덕곡면 율지1길 16 ,무더위쉼터,35.6151597,128.3579034,경남,합천군,경남 합천군,
더래디언트금정산아파트경로당,부산광역시 북구 상학로 35 (더래디언트 금정산),무더위쉼터,35.215338,129.035166,부산,북구,부산 북구,
더나눔어린이작은도서관,부산광역시 동구 영초윗길 48 (더나눔),무더위쉼터,35.118494,129.032689,부산,동구,부산 동구,
대현1동제1경로당,대구광역시 북구 대현로17길 7 (대현아파트 1동),무더위쉼터,35.883262,128.608908,대구,북구,대구 북구,
대현1동제2경로당,대구광역시 북구 대현로서15길 50-7,무더위쉼터,35.886648,128.604176,대구,북구,대구 북구,
덕계경로당,경상북도 김천시 아포읍 덕계길 95 ,무더위쉼터,36.1621189,128.2204834,경북,김천시,경북 김천시,
대현2동경로당,대구광역시 북구 신천동로146길 9,무더위쉼터,35.884188,128.603026,대구,북구,대구 북구,
대현E-편한세상경로당,"대구광역시 북구 대현로10길 82 (대현동, 대현 e-편한세상)",무더위쉼터,35.8813861,128.6036751,대구,북구,대구 북구,
더샵리비테르1차경로당,"대구광역시 중구 대봉로43길 21 (대봉동, 더샵 리비테르 1차)",무더위쉼터,35.8566767,128.6011337,대구,중구,대구 중구,
