"SHNTDTR_SN","ARCD","SHNT_PLACE_SN","SHNT_PLACE_NM","PSBL_NMPR","EV_ANTCTY","USE_AT","RN_DTL_ADRES","RDNMADR_CD","LO","LA","SHNT_PLACE_DTL_POSITION","SHNT_PLACE_TY_CD","ERTHQK_SHUNT_AT"
"대피지구일련번호","지역코드","대피장소일련번호","대피장소명","수용인원","해발고도","사용여부","도로명상세주소","도로명주소코드","경도","위도","대피장소상세위치","대피소종류","내진설계적용여부"
"44","4793000000","2","대동빌라","180","25","Y","경상북도 울진군 울진읍 현내항길 189-6 ","4793025023101430001025072","129.4143748","36.9915997","경상북도 울진군 울진읍 연지리 138-1","003","N"
"11","2671000000","2","칠암초등학교","1200","11","Y","","","129.2554593","35.2984635","부산광역시 기장군 일광면 칠암리 134","001","Y"
"4","2614000000","1","암남공원","20000","16","Y","","","129.0201706","35.0624693","부산광역시 서구 암남동 620-36","002","N"
"3","2638000000","1","BMC 아파트 테니스장","603","40","Y","","","128.9787885","35.0646119","부산광역시 사하구 다대동 113-9","004","N"
"3","2638000000","2","두송종합사회복지관 앞 주차장","1200","27","Y","부산광역시 사하구 다송로 59(다대동, 다대4지구도개공영구임대아파트)","2638010600100960001036601","128.9848","35.0623","부산광역시 사하구 다대동 96-1","003","N"
"2","2650000000","1","수영구청","6880","21","Y","부산광역시 수영구 남천동로 100(남천동)","2650010500101480015016854","129.1128912","35.1453222","부산광역시 수영구 남천동 148-15","001","Y"
"2","2650000000","2","코오롱하늘채아파트","53218","28","Y","부산광역시 수영구 남천동로 33(남천동)","2650010500101480023000002","129.1123216","35.1424342","부산광역시 수영구 남천동 151","004","Y"
"4","2650000000","1","민락초등학교 운동장","8798","29","Y","부산광역시 수영구 광남로257번길 12(민락동)","2650010300100120001003298","129.1268676121317","35.16081269276683","부산광역시 수영구 민락동 2","005","Y"
"4","2650000000","2","민락동행정복지센터","813","12","Y","부산광역시 수영구 광안해변로295번길 20(민락동)","2650010300100340010006863","129.125399","35.1573369","부산광역시 수영구 민락동 34-10","001","Y"
"4","2650000000","3","백산","4947","40","Y","부산광역시 수영구 광남로257번길 58(민락동)","2650010300200280000000001","129.1254473","35.1621787","부산광역시 수영구 민락동 327-2","002","N"
"2","2614000000","3","송도해수욕장 공영주차장","4000","23","Y","부산광역시 서구 암남공원로 25(암남동)","2614012400105790000023791","129.0154874","35.0739463","부산광역시 서구 암남동 579","001","N"
"2","2614000000","4","송도초등학교 운동장","4800","20","Y","부산광역시 서구 충무대로 25(암남동)","2614012400103130000023260","129.01565182030984","35.07831211029459","부산광역시 서구 암남동 313","005","Y"
"3","3120000000","1","강동중앙3공원","2000","15","Y","","","129.4383404","35.6308216","울산광역시 북구 산하동 306","002","N"
"4","3120000000","1","컴온비치호텔  주차장","1200","13","Y","울산광역시 북구 동해안로 1517(정자동)","3120011300104350000008736","129.4458717","35.6212379","울산광역시 북구 정자동 435","002","N"
"3","2671000000","1","국립수산과학원 정문 앞 도로","800","20","Y","","","129.2212906","35.1946844","부산광역시 기장군 기장읍 시랑리 170-14","003","N"
"3","2671000000","2","아난티앳부산코브호텔 앞 도로","2000","15","Y","","","129.2251825","35.1976062","부산광역시 기장군 기장읍 시랑리 708","003","N"
"3","4713000000","1","감포초등학교 운동장","1300","15","Y","경상북도 경주시 감포읍 감포로10길 21","4713025029100120000132421","129.50196258401994","35.80993766500488","경상북도 경주시 감포읍 감포리 12","005","Y"
"3","4713000000","2","감포읍 행정복지센터","500","18","Y","경상북도 경주시 감포읍 감포로8길 14-6 ","4713025029100620002132158","129.5015788","35.8073988","경상북도 경주시 감포읍 감포리 56-2","001","Y"
"3","4713000000","4","감포읍 주민복지회관 ","600","21","Y","경상북도 경주시 감포읍 동해안로 2153","4713025023200370000000001","129.4933283","35.7990454","경상북도 경주시 감포읍 전촌리 221-1","004","N"
"5","5183000000","1","물치리 야산 ","300","15","Y","","","128.608075","38.156419","강원특별자치도 양양군 강현면 물치리 산 12","002","N"
"11","4711100000","1","구만리389-1 주변","185","28","Y","","","129.5509824","36.0813221","경상북도 포항시 남구 호미곶면 구만리 389-1","002","N"
"11","4711100000","2","호미곶펜션 앞","50","9","Y","","","129.5489332","36.0847557","경상북도 포항시 남구 호미곶면 구만리 491-7","002","N"
"2","4777000000","1","삼사공원입구1","500","27","Y","","","129.3821757","36.3453493","경상북도 영덕군 강구면 삼사리 753-1","002","N"
"2","4777000000","2","삼사공원입구2","150","27","Y","","","129.3857345","36.3491995","경상북도 영덕군 강구면 삼사리 172","002","N"
"2","4777000000","3","씨아일랜드주차장","50","10","Y","","","129.3815782","36.3401528","경상북도 영덕군 강구면 삼사리 631-8","002","N"
"13","4777000000","1","구계승강장","200","30","Y","","","129.3796941","36.3205752","경상북도 영덕군 남정면 구계리 207-1","003","N"
"13","4777000000","2","W펜션(구,아이씨프라자)","150","30","Y","경상북도 영덕군 남정면 동해대로 4000","4777032048103740001029224","129.378493","36.3165939","경상북도 영덕군 남정면 구계리 375-5","002","N"
"13","4777000000","3","제당뒷산","220","20","Y","경상북도 영덕군 남정면 구계2길 14-10 ","4777032048102680000000867","129.3780926","36.321268","경상북도 영덕군 남정면 구계리 268","002","N"
