"SN","PRSNTN_DT","PRSNTN_HR","LAT","LOT","PSTN","ROPR_","ROPR_GRD","STDG_CTPV_CD","STDG_SGG_CD","XMAP_CRTS","YMAP_CRTS","GEOM"
"일련번호","발표일시","발표시간","위도","경도","위치","진도","진도등급","법정동시도코드","법정동시군구코드","X지도좌표","Y지도좌표","지오메트리"
"854","20190220","2214","36.51","125.5","충남 태안군 서격렬비도 남남서쪽 12km 해역","2.9","3","44","44825","1.3970596094555834E7","4371025.417413116","POINT(13970596.094555831 4371025.4174131202)"
"853","20190218","0533","36.72","128.41","경북 예천군 북북서쪽 8km 지역","2.4","3","47","47900","1.4294535812764259E7","4400149.929781711","POINT(14294535.81276425 4400149.9297817098)"
"812","20190217","2219","33.29","126.25","제주 서귀포시 서쪽 29km 지역","2.6","3","50","50130","1.4054085712650789E7","3933860.178680571","POINT(14054085.71265078 3933860.1786805699)"
"852","20190213","0516","38.9","125.86","북한 평양 남동쪽 17km 지역","2.7","3","","","1.4010671111241411E7","4707357.536267922","POINT(14010671.11124141 4707357.5362679204)"
"929","20190210","1412","36.16","129.85","경북 포항시 북구 동북동쪽 45km 해역","2.5","3","47","","1.4454835879506571E7","4322659.518005195","POINT(14454835.879506569 4322659.5180052007)"
"930","20190210","1253","36.16","129.9","경북 포항시 북구 동북동쪽 50km 해역","4.1","5","47","","1.4460401854046239E7","4322659.518005195","POINT(14460401.854046229 4322659.5180052007)"
"811","20190131","1957","36.53","129.66","경북 영덕군 동북동쪽 29km 해역","2.2","3","47","47770","1.443368517625585E7","4373795.767830736","POINT(14433685.17625585 4373795.7678307407)"
"881","20190117","2134","33.94","127.62","전남 여수시 거문도 동남동쪽 30km 해역","2.7","3","","46130","1.4206593415037572E7","4020748.3345961794","POINT(14206593.415037571 4020748.3345961799)"
"880","20190113","2109","37.02","127.93","충북 충주시 북쪽 3km 지역","2","3","43","43130","1.4241102457183488E7","4441894.896092745","POINT(14241102.45718348 4441894.8960927501)"
"879","20190110","0531","35.79","129.2","경북 경주시 남남서쪽 5km 지역","2.5","3","47","47130","1.4382478210490942E7","4271764.036651693","POINT(14382478.21049094 4271764.0366516896)"
"878","20190109","0310","37.37","124.23","인천 옹진군 백령도 남남서쪽 76km 해역","3.7","4","28","28720","1.3829220341248376E7","4490806.268758584","POINT(13829220.341248371 4490806.2687585801)"
"876","20190102","0720","41.3","129.21","북한 함경북도 길주 북북서쪽 40km 지역","2.8","3","","","1.4383591405398877E7","5056692.808763346","POINT(14383591.40539887 5056692.8087633504)"
"877","20190102","1312","36.77","128.31","경북 문경시 북북동쪽 23km 지역","2.2","3","47","47280","1.4283403863684932E7","4407096.058665365","POINT(14283403.86368493 4407096.0586653706)"
"875","20190101","0649","36.53","129.66","경북 영덕군 동북동쪽 29km 해역","3.1","4","47","47770","1.443368517625585E7","4373795.767830736","POINT(14433685.17625585 4373795.7678307407)"
"786","20181227","0310","36.99","128.89","경북 봉화군 북동쪽 18km 지역","2","3","47","47920","1.434796916834503E7","4437713.007857726","POINT(14347969.16834503 4437713.0078577306)"
"785","20181221","1606","35.76","127.95","경남 거창군 북북동쪽 9km 지역","2.7","3","48","48880","1.4243328846999353E7","4267647.795206198","POINT(14243328.846999349 4267647.7952062003)"
"222","20181220","1323","35.88","129.69","경북 포항시 남구 동남동쪽 33km 해역","2","3","47","","1.4437024760979649E7","4284122.095067954","POINT(14437024.760979639 4284122.09506795)"
