"REARE_NM","RONA_DADDR","LAT","LOT","SHLT_SE_CD","SHLT_SE_NM","MNG_SN"
"보담경로당","경상남도 밀양시 하남읍 남전2길 7 ","35.4135354","128.7136049","1","한파쉼터","T2024111210555300057937"
"보광1리경로당","강원특별자치도 강릉시 성산면 보광리 413-3","37.738314","128.799589","1","한파쉼터","T2026010611060600915712"
"복지그룹홈","전북특별자치도 김제시 백산면 하정5길 8","35.854631","126.897012","1","한파쉼터","T2025121600053400802785"
"복지회관경로당(남)","부산광역시 연제구 아시아드대로22번길 15 (거제2동복지회관)","35.187613","129.070168","1","한파쉼터","T2026012100043800916794"
"보광동주민센터","서울특별시 용산구 장문로 95 (보광동)","37.5262602","127.0001292","1","한파쉼터","T2025020100065700425314"
"복지회관경로당(여)","부산광역시 연제구 아시아드대로22번길 15 (거제2동복지회관)","35.187613","129.070168","1","한파쉼터","T2026012100043800916795"
"보월1리마을회관","경상북도 성주군 수륜면 보월리 529-1","35.80362","128.267325","1","한파쉼터","T2026011700042300916639"
"보석경로당","전북특별자치도 군산시 임피면 구절길 2-4 ","35.9609217","126.8408488","1","한파쉼터","T2024111210555300026665"
"복촌","전북특별자치도 김제시 부량면 벽골제로 441-21","35.754147","126.850747","1","한파쉼터","T2025120500052600802549"
"보산경로당","전북특별자치도 김제시 봉남면 종덕3길 102","35.736681","126.95832","1","한파쉼터","T2025112700050100802041"
"병수1리경로당","대구광역시 군위군 효령면 간동길 19 ","36.1748104","128.584918","1","한파쉼터","T2024111210555300041100"
"보훈회관","경기도 광주시 파발로 205","37.416774","127.249257","1","한파쉼터","T2025051500041400714531"
"산남경로당","경상남도 창원시 의창구 동읍 봉강가술로 203 ","35.3522798","128.6771482","1","한파쉼터","T2024111210555300043482"
"사벌문화복지센터","경상북도 상주시 사벌국면 상풍로 467 ","36.4679","128.2117","1","한파쉼터","T2025110709130800795406"
"산서농협","전북특별자치도 장수군 산서면비행로 38","35.5849327","127.3966475","1","한파쉼터","T2025061100043700715832"
