LO,SHNT_PLACE_SN,RN_DTL_ADRES,SHNT_PLACE_NM,EV_ANTCTY,ARCD,SHNT_PLACE_DTL_POSITION,USE_AT,LA,SHNTDTR_SN,SHNT_PLACE_TY_CD,ERTHQK_SHUNT_AT,PSBL_NMPR,RDNMADR_CD
129.4659269,4,,구산침례교회 뒷산,20,4793000000,경상북도 울진군 기성면 구산리 304,Y,36.7582997,14,2,N,50,
129.4716346,1,경상북도 울진군 평해읍 개바위길 63,포항공대평해 연수원뒷산,25,4793000000,경상북도 울진군 평해읍 직산리 219,Y,36.7158559,21,2,N,200,4.79303E+24
129.4722515,2,,마을뒷산 고지대,25,4793000000,경상북도 울진군 평해읍 거일리 산 29,Y,36.7135595,21,2,N,300,
129.4725412,3,경상북도 울진군 평해읍 박실길 12-16 ,파도향기펜션,20,4793000000,경상북도 울진군 평해읍 거일리 61,Y,36.7115104,21,2,N,300,4.79303E+24
129.4748372,4,,마을뒷산 고지대,27,4793000000,경상북도 울진군 평해읍 거일리 83-1,Y,36.7096634,21,2,N,200,
128.5857128,1,,해양경찰충혼탑,41,5121000000,강원특별자치도 속초시 장사동 507-1,Y,38.22765221,3,1,N,300,
129.4044631,2,,하저문화마을뒤,14,4777000000,경상북도 영덕군 강구면 하저리 449-1,Y,36.3895778,8,2,N,200,
129.4083523,3,,탁주합동제조장뒤,12,4777000000,경상북도 영덕군 강구면 하저리 115,Y,36.3918497,8,2,N,100,
129.4142114,4,,푸른바다민박뒤,11,4777000000,경상북도 영덕군 강구면 하저리 6-6,Y,36.3935002,8,2,N,100,
129.3771907,1,경상북도 영덕군 남정면 동해대로 3478,힐링턴콘도,15,4777000000,경상북도 영덕군 남정면 부경리 156,Y,36.2722141,9,2,N,400,4.77703E+24
129.4538918,1,,기성리 451번지옆도로,20,4793000000,경상북도 울진군 기성면 기성리 451,Y,36.8044442,11,3,N,30,
129.4490558,2,경상북도 울진군 기성면 기성로 721,비행훈련원 기숙사,40,4793000000,경상북도 울진군 기성면 척산리 410,Y,36.8019228,11,2,N,100,4.79304E+24
129.4516039,3,,척산리 321번지 일대,20,4793000000,경상북도 울진군 기성면 척산리 321,Y,36.8008554,11,2,N,30,
129.4495586,4,경상북도 울진군 기성면 척산2길 24-5 ,기성초등학교 운동장,20,4793000000,경상북도 울진군 기성면 척산리 194,Y,36.79765864,11,5,N,200,4.79304E+24
129.4492087,5,경상북도 울진군 기성면 척산1길 69,척산리 135번지  일대,25,4793000000,경상북도 울진군 기성면 척산리 135,Y,36.7964074,11,2,N,30,4.79304E+24
129.4601709,1,,월송2리마을회관 뒷산,15,4793000000,경상북도 울진군 평해읍 월송리 산 22-5,Y,36.7399094,17,2,N,30,
129.4415825,1,경상북도 울진군 후포면 삼율5길 8,후포초등학교 운동장,18,4793000000,경상북도 울진군 후포면 삼율리 322,Y,36.68067109,26,5,N,9000,4.79304E+24
